track_name,popularity,duration_ms,release_date
Bohemian Rhapsody - Remastered 2011,82,354320,1975-11-21
Don't Stop Me Now - Remastered 2011,84,209413,1978-11-10
Thank God It's Christmas - Non-Album Single,80,261626,1984-02-27
Under Pressure - Remastered 2011,82,248440,1982-05-03
Another One Bites The Dust - Remastered 2011,82,214653,1980-06-27
We Will Rock You - Remastered 2011,78,122066,1977-10-28
Somebody To Love - Remastered 2011,76,296480,1976-12-10
Crazy Little Thing Called Love - Remastered 2011,78,163373,1980-06-27
Killer Queen - Remastered 2011,75,179600,1974-11-08
Radio Ga Ga - Remastered 2011,76,348226,1984-02-27
