track_name,popularity,album
goosebumps,85,Birds In The Trap Sing McKnight
FE!N (feat. Playboi Carti),85,UTOPIA
SICKO MODE,83,ASTROWORLD
90210 (feat. Kacy Hill),83,Rodeo
BUTTERFLY EFFECT,82,ASTROWORLD
I KNOW ?,81,UTOPIA
MY EYES,81,UTOPIA
sdp interlude,79,Birds In The Trap Sing McKnight
ASTROTHUNDER,78,ASTROWORLD
Nightcrawler (feat. Swae Lee & Chief Keef),78,Rodeo
SKELETONS,77,ASTROWORLD
CAN'T SAY,77,ASTROWORLD
TELEKINESIS (feat. SZA & Future),77,UTOPIA
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),76,UTOPIA
YOSEMITE,76,ASTROWORLD
OUT WEST (feat. Young Thug),76,JACKBOYS
STARGAZING,75,ASTROWORLD
MELTDOWN (feat. Drake),74,UTOPIA
DUMBO,74,JACKBOYS 2
KICK OUT,74,JACKBOYS 2
5% TINT,74,ASTROWORLD
TOPIA TWINS (feat. Rob49 & 21 Savage),73,UTOPIA
CHAMPAIN & VACAY,72,JACKBOYS 2
Maria I'm Drunk (feat. Justin Bieber & Young Thug),72,Rodeo
Antidote,72,Rodeo
Drugs You Should Try It,71,DAYS BEFORE RODEO
NO BYSTANDERS,71,ASTROWORLD
GATTI,70,JACKBOYS
THANK GOD,70,UTOPIA
WHERE WAS YOU,70,JACKBOYS 2
COFFEE BEAN,69,ASTROWORLD
WHO? WHAT!,69,ASTROWORLD
WHAT TO DO? (feat. Don Toliver),69,JACKBOYS
Apple Pie,69,Rodeo
HYAENA,68,UTOPIA
HOUSTONFORNICATION,68,ASTROWORLD
3500 (feat. Future & 2 Chainz),68,Rodeo
beibs in the trap,67,Birds In The Trap Sing McKnight
STOP TRYING TO BE GOD,67,ASTROWORLD
SKITZO (feat. Young Thug),67,UTOPIA
MODERN JAM (feat. Teezo Touchdown),67,UTOPIA
pick up the phone (feat. Quavo),67,Birds In The Trap Sing McKnight
2000 EXCURSION,67,JACKBOYS 2
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),67,UTOPIA
Impossible,67,Rodeo
SHYNE,67,JACKBOYS 2
way back,66,Birds In The Trap Sing McKnight
WAKE UP,66,ASTROWORLD
SIRENS,66,UTOPIA
Pray 4 Love (feat. The Weeknd),65,Rodeo
NO COMMENTS,65,JACKBOYS 2
coordinate,65,Birds In The Trap Sing McKnight
R.I.P. SCREW,65,ASTROWORLD
CAROUSEL,65,ASTROWORLD
through the late night,65,Birds In The Trap Sing McKnight
GANG GANG,65,JACKBOYS
sweet sweet,64,Birds In The Trap Sing McKnight
the ends,64,Birds In The Trap Sing McKnight
MM3,64,JACKBOYS 2
Mamacita (feat. Rich Homie Quan & Young Thug),64,DAYS BEFORE RODEO
Oh My Dis Side (feat. Quavo),64,Rodeo
NC-17,64,ASTROWORLD
wonderful,64,Birds In The Trap Sing McKnight
CONTEST,63,JACKBOYS 2
LOOOVE (feat. Kid Cudi),63,UTOPIA
PBT,63,JACKBOYS 2
GOD'S COUNTRY,63,UTOPIA
LOST FOREVER (feat. Westside Gunn),62,UTOPIA
BEEP BEEP,62,JACKBOYS 2
Pornography,62,Rodeo
OUTSIDE,62,JACKBOYS 2
FLORIDA FLOW,62,JACKBOYS 2
VELOUR,61,JACKBOYS 2
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,61,JACKBOYS
HAD ENOUGH (feat. Quavo & Offset),61,JACKBOYS
K-POP (feat. Bad Bunny & The Weeknd),61,UTOPIA
CANT STOP,61,JACKBOYS 2
Backyard,61,DAYS BEFORE RODEO
ILMB,61,JACKBOYS 2
Skyfall (feat. Young Thug),60,DAYS BEFORE RODEO
Don't Play (feat. The 1975 & Big Sean),60,DAYS BEFORE RODEO
Black & Chinese,60,"Huncho Jack, Jack Huncho"
DELRESTO (ECHOES) (feat. Beyoncé),60,UTOPIA
lose,59,Birds In The Trap Sing McKnight
PARASAIL (feat. Yung Lean & Dave Chappelle),59,UTOPIA
Never Catch Me,59,Rodeo
Quintana Pt. 2,59,DAYS BEFORE RODEO
Dubai Shit,59,"Huncho Jack, Jack Huncho"
I Can Tell,59,Rodeo
outside,58,Birds In The Trap Sing McKnight
Where U From,58,"Huncho Jack, Jack Huncho"
Days Before Rodeo: The Prayer,58,DAYS BEFORE RODEO
first take,58,Birds In The Trap Sing McKnight
Saint,58,"Huncho Jack, Jack Huncho"
Motorcycle Patches,58,"Huncho Jack, Jack Huncho"
Ok Alright (feat. ScHoolboy Q),57,Rodeo
How U Feel,56,"Huncho Jack, Jack Huncho"
Grey,56,DAYS BEFORE RODEO
Saint Laurent Mask,56,"Huncho Jack, Jack Huncho"
Modern Slavery,56,"Huncho Jack, Jack Huncho"
